,DATE,LNS11324230
0,2010-01-01,40.0
1,2010-02-01,40.1
2,2010-03-01,40.2
3,2010-04-01,40.3
4,2010-05-01,40.4
5,2010-06-01,40.3
6,2010-07-01,40.4
7,2010-08-01,40.5
8,2010-09-01,40.4
9,2010-10-01,40.0
10,2010-11-01,40.1
11,2010-12-01,40.2
12,2011-01-01,39.9
13,2011-02-01,40.0
14,2011-03-01,40.0
15,2011-04-01,40.2
16,2011-05-01,40.2
17,2011-06-01,40.2
18,2011-07-01,40.2
19,2011-08-01,40.3
20,2011-09-01,40.6
21,2011-10-01,40.6
22,2011-11-01,40.4
23,2011-12-01,40.3
24,2012-01-01,40.1
25,2012-02-01,40.4
26,2012-03-01,40.4
27,2012-04-01,40.3
28,2012-05-01,40.5
29,2012-06-01,40.6
30,2012-07-01,40.2
31,2012-08-01,40.4
32,2012-09-01,40.4
33,2012-10-01,40.7
34,2012-11-01,40.7
35,2012-12-01,40.7
36,2013-01-01,40.7
37,2013-02-01,40.6
38,2013-03-01,40.5
39,2013-04-01,40.4
40,2013-05-01,40.5
41,2013-06-01,40.5
42,2013-07-01,40.2
43,2013-08-01,40.4
44,2013-09-01,40.1
45,2013-10-01,40.1
46,2013-11-01,39.9
47,2013-12-01,39.9
48,2014-01-01,39.9
49,2014-02-01,40.0
50,2014-03-01,39.9
51,2014-04-01,39.9
52,2014-05-01,40.1
53,2014-06-01,39.9
54,2014-07-01,40.0
55,2014-08-01,39.9
56,2014-09-01,39.9
57,2014-10-01,40.0
58,2014-11-01,40.1
59,2014-12-01,39.9
60,2015-01-01,40.1
61,2015-02-01,39.7
62,2015-03-01,39.9
63,2015-04-01,40.1
64,2015-05-01,40.0
65,2015-06-01,39.9
66,2015-07-01,40.0
67,2015-08-01,39.8
68,2015-09-01,39.7
69,2015-10-01,39.9
70,2015-11-01,39.9
71,2015-12-01,39.9
72,2016-01-01,40.1
73,2016-02-01,40.2
74,2016-03-01,40.2
75,2016-04-01,40.2
76,2016-05-01,39.8
77,2016-06-01,40.0
78,2016-07-01,40.2
79,2016-08-01,39.9
80,2016-09-01,40.0
81,2016-10-01,40.0
82,2016-11-01,39.9
83,2016-12-01,39.7
84,2017-01-01,40.0
85,2017-02-01,40.0
86,2017-03-01,40.1
87,2017-04-01,40.0
88,2017-05-01,40.0
89,2017-06-01,40.0
90,2017-07-01,40.0
91,2017-08-01,40.0
92,2017-09-01,40.1
93,2017-10-01,39.9
94,2017-11-01,39.9
95,2017-12-01,39.8
96,2018-01-01,39.5
97,2018-02-01,39.9
98,2018-03-01,39.8
99,2018-04-01,40.0
100,2018-05-01,40.2
101,2018-06-01,40.1
102,2018-07-01,40.1
103,2018-08-01,40.2
104,2018-09-01,40.1
105,2018-10-01,40.1
106,2018-11-01,40.2
107,2018-12-01,40.3
108,2019-01-01,40.3
109,2019-02-01,40.4
110,2019-03-01,40.0
111,2019-04-01,40.0
112,2019-05-01,39.9
113,2019-06-01,40.0
114,2019-07-01,40.5
115,2019-08-01,40.3
116,2019-09-01,40.3
117,2019-10-01,40.3
118,2019-11-01,40.3
119,2019-12-01,40.3
120,2020-01-01,40.2
121,2020-02-01,40.3
122,2020-03-01,39.6
123,2020-04-01,38.5
124,2020-05-01,38.5
125,2020-06-01,39.0
126,2020-07-01,39.3
127,2020-08-01,39.5
128,2020-09-01,38.9
129,2020-10-01,38.8
130,2020-11-01,38.8
131,2020-12-01,38.6
132,2021-01-01,38.3
133,2021-02-01,38.3
134,2021-03-01,38.2
135,2021-04-01,38.4
136,2021-05-01,38.4
137,2021-06-01,38.4
138,2021-07-01,38.4
139,2021-08-01,38.5
140,2021-09-01,38.6
141,2021-10-01,38.4
142,2021-11-01,38.4
143,2021-12-01,38.5
144,2022-01-01,39.1
145,2022-02-01,39.1
146,2022-03-01,38.9
147,2022-04-01,38.7
148,2022-05-01,38.9
149,2022-06-01,38.6
150,2022-07-01,38.7
